Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health/,365,0,810.0,950.363334863126,93.5856580035761,4199.347697998746,77.88493150684931,3.077874642883773,0.0,810,1100,1300,1400,1800,2000,2500,3400,4200,4200,4200
GET,GET /jobs/stats/,398,0,860.0,927.1026330350642,75.00683199759806,3444.870668994554,68.69095477386935,3.3561482407335386,0.0,860,1100,1300,1400,1600,1800,2300,2500,3400,3400,3400
GET,GET /jobs/{id}/,1756,0,760.0,870.0901215957452,36.787147997529246,3952.7821320007206,436.3223234624146,14.80752841891481,0.0,760,1000,1200,1300,1600,1900,2200,2500,2800,4000,4000
POST,POST /jobs/,1160,0,1100.0,1185.4892205146098,59.71578699973179,6121.034654999676,421.6301724137931,9.781738591082675,0.0,1100,1400,1600,1700,2000,2300,2700,2900,4100,6100,6100
,Aggregated,3679,0,880.0,983.6681746376909,36.787147997529246,6121.034654999676,356.3577058983419,31.0232898936148,0.0,880,1200,1400,1500,1800,2100,2400,2700,4000,6100,6100
