Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health/,157,41,2900.0,11515.999614369346,96.29231900180457,97244.84829200082,23721.171974522294,1.3237570838228863,0.3456945250747665,2900,6700,8600,12000,43000,53000,77000,82000,97000,97000,97000
GET,GET /jobs/stats/,120,29,1400.0,12653.974274483457,61.54066399903968,88786.1408969984,46249.78333333333,1.0117888538773654,0.24451563968702997,1400,6300,24000,33000,42000,46000,67000,84000,89000,89000,89000
GET,GET /jobs/{id}/,309,85,5600.0,14803.018445715386,99.51469099905808,70642.75626000017,56044.90614886731,2.6053562987342156,0.7166837714964671,5600,13000,31000,36000,44000,48000,51000,53000,71000,71000,71000
POST,POST /jobs/,348,65,8300.0,19916.907824295984,85.53535299870418,107191.13027099957,39830.52298850575,2.9341876762443597,0.5480522958502395,8600,25000,35000,40000,49000,66000,87000,99000,107000,107000,107000
,Aggregated,934,220,4800.0,15879.770315819118,61.54066399903968,107191.13027099957,43311.66595289079,7.875089912678827,1.854946232108503,4800,14000,30000,36000,45000,52000,76000,86000,107000,107000,107000
