timestamp,method,name,response_time_ms,status,error
2026-03-23T21:51:07.196569+05:30,POST,POST /jobs/,1042.73,ok,
2026-03-23T21:51:07.207017+05:30,POST,POST /jobs/,1052.44,ok,
2026-03-23T21:51:07.219364+05:30,POST,POST /jobs/,1066.71,ok,
2026-03-23T21:51:07.249775+05:30,GET,GET /jobs/stats/,95.88,ok,
2026-03-23T21:51:08.329420+05:30,GET,GET /health/,174.31,ok,
2026-03-23T21:51:08.362115+05:30,GET,GET /health/,158.45,ok,
2026-03-23T21:51:08.381317+05:30,POST,POST /jobs/,223.47,ok,
2026-03-23T21:51:09.219975+05:30,GET,GET /health/,55.93,ok,
2026-03-23T21:51:09.297902+05:30,POST,POST /jobs/,140.71,ok,
2026-03-23T21:51:09.407727+05:30,GET,GET /jobs/{id}/,38.65,ok,
2026-03-23T21:51:09.433847+05:30,POST,POST /jobs/,275.24,ok,
2026-03-23T21:51:09.468338+05:30,POST,POST /jobs/,308.61,ok,
2026-03-23T21:51:09.590929+05:30,GET,GET /jobs/{id}/,27.68,ok,
2026-03-23T21:51:09.893709+05:30,GET,GET /jobs/{id}/,24.94,ok,
2026-03-23T21:51:10.147636+05:30,GET,GET /health/,28.74,ok,
2026-03-23T21:51:10.296319+05:30,POST,POST /jobs/,173.28,ok,
2026-03-23T21:51:10.526628+05:30,POST,POST /jobs/,369.19,ok,
2026-03-23T21:51:10.558346+05:30,POST,POST /jobs/,399.82,ok,
2026-03-23T21:51:10.631813+05:30,POST,POST /jobs/,145.9,ok,
2026-03-23T21:51:10.637459+05:30,GET,GET /jobs/{id}/,56.95,ok,
2026-03-23T21:51:10.672189+05:30,POST,POST /jobs/,274.76,ok,
2026-03-23T21:51:10.746443+05:30,POST,POST /jobs/,195.37,ok,
2026-03-23T21:51:10.896462+05:30,POST,POST /jobs/,341.09,ok,
2026-03-23T21:51:11.053252+05:30,GET,GET /jobs/stats/,30.69,ok,
2026-03-23T21:51:11.223498+05:30,GET,GET /jobs/stats/,62.29,ok,
2026-03-23T21:51:11.350807+05:30,GET,GET /health/,130.19,ok,
2026-03-23T21:51:11.385331+05:30,GET,GET /jobs/{id}/,144.91,ok,
2026-03-23T21:51:11.419016+05:30,POST,POST /jobs/,254.87,ok,
2026-03-23T21:51:11.449358+05:30,POST,POST /jobs/,286.73,ok,
2026-03-23T21:51:11.501342+05:30,POST,POST /jobs/,162.08,ok,
2026-03-23T21:51:11.605744+05:30,GET,GET /jobs/stats/,30.36,ok,
2026-03-23T21:51:11.858959+05:30,POST,POST /jobs/,142.3,ok,
2026-03-23T21:51:11.922077+05:30,GET,GET /jobs/{id}/,61.49,ok,
2026-03-23T21:51:11.954009+05:30,POST,POST /jobs/,158.95,ok,
2026-03-23T21:51:11.972681+05:30,POST,POST /jobs/,154.25,ok,
2026-03-23T21:51:12.082109+05:30,POST,POST /jobs/,213.45,ok,
2026-03-23T21:51:12.256697+05:30,POST,POST /jobs/,160.87,ok,
2026-03-23T21:51:12.284911+05:30,GET,GET /jobs/{id}/,50.55,ok,
2026-03-23T21:51:12.370900+05:30,GET,GET /health/,78.59,ok,
2026-03-23T21:51:12.444519+05:30,POST,POST /jobs/,281.85,ok,
2026-03-23T21:51:12.495587+05:30,GET,GET /jobs/{id}/,64.24,ok,
2026-03-23T21:51:12.498717+05:30,GET,GET /jobs/{id}/,51.68,ok,
2026-03-23T21:51:12.506591+05:30,POST,POST /jobs/,342.52,ok,
2026-03-23T21:51:12.553213+05:30,POST,POST /jobs/,126.45,ok,
2026-03-23T21:51:12.681742+05:30,GET,GET /jobs/stats/,57.04,ok,
2026-03-23T21:51:13.262660+05:30,GET,GET /jobs/{id}/,71.14,ok,
2026-03-23T21:51:13.282626+05:30,GET,GET /jobs/stats/,116.92,ok,
2026-03-23T21:51:13.283707+05:30,GET,GET /jobs/{id}/,71.09,ok,
2026-03-23T21:51:13.369637+05:30,GET,GET /jobs/{id}/,130.79,ok,
2026-03-23T21:51:13.390917+05:30,POST,POST /jobs/,227.08,ok,
2026-03-23T21:51:13.430875+05:30,GET,GET /jobs/{id}/,24.51,ok,
2026-03-23T21:51:13.496427+05:30,POST,POST /jobs/,320.04,ok,
2026-03-23T21:51:13.536930+05:30,POST,POST /jobs/,372.04,ok,
2026-03-23T21:51:13.621156+05:30,GET,GET /health/,34.9,ok,
2026-03-23T21:51:13.657789+05:30,POST,POST /jobs/,88.89,ok,
2026-03-23T21:51:13.745454+05:30,POST,POST /jobs/,75.91,ok,
