Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health/,269,0,55,219.31902870256064,23.40040900162421,5575.6808380028815,77.817843866171,2.2576640589258385,0.0,55,74,90,100,160,350,5200,5500,5600,5600,5600
GET,GET /jobs/stats/,263,0,59,168.64979809098975,23.5483659998863,5694.394052996358,68.16730038022814,2.2073072397676414,0.0,59,78,100,110,190,280,590,4900,5700,5700,5700
GET,GET /jobs/{id}/,1198,0,50,215.2896341143611,21.23586199741112,5810.350863997883,441.2746243739566,10.054578225253362,0.0,50,68,86,100,190,430,4800,5600,5800,5800,5800
POST,POST /jobs/,801,0,110.0,227.32298586630716,34.700907999649644,6187.6775059936335,420.84644194756555,6.7226353576193185,0.0,110,160,190,220,350,560,950,2600,6200,6200,6200
,Aggregated,2531,0,68,214.6797348742929,21.23586199741112,6187.6775059936335,357.4105096799684,21.24218488156616,0.0,68,98,120,150,250,470,2600,5500,5800,6200,6200
